log10_M,HalfMassRadius,pc16,pc84
0.1,9.030011,8.920498,9.139524
0.2,8.977873,8.869868,9.085877
0.3,8.942237,8.74455,9.139924
0.4,8.915029,8.418605,9.411452
0.5,8.891276,7.8295097,9.953043
0.6,8.871805,6.911948,10.831662
0.7,8.854572,5.5913534,12.117791
0.8,8.838719,3.7928214,13.884617
0.9,8.824491,1.4421172,16.206863
1.0,8.811037,-1.5362387,19.158314
1.1,8.798494,-5.2168036,22.813793
1.2,8.786512,-9.674652,27.247677
1.3,8.775258,-14.984351,32.534866
1.4,8.764609,-21.220772,38.74999
1.5,8.754639,-28.458584,45.96786
1.6,8.744695,-36.7732,54.26259
1.7,8.735157,-46.23899,63.709305
1.8,8.725764,-56.930973,74.3825
1.9,8.716903,-68.923515,86.35732
2.0,8.708438,-82.29152,99.70839
2.1,8.700394,-97.10971,114.5105
2.2,8.692439,-113.45318,130.83806
2.3,8.684835,-131.39641,148.76607
2.4,8.677554,-151.0142,168.36931
2.5,8.67042,-172.38148,189.72234
2.6,8.663454,-195.57301,212.89992
2.7,8.656545,-220.66365,237.97673
2.8,8.649958,-247.72787,265.0278
2.9,8.643433,-276.8407,294.12756
